fid,DAUID,DGUID,LANDAREA,PRUID,lon,lat,area-DAs(s,flood-area,flood-prc,parks-area
122,"59150449",2021S051259150449,0.118300000000000,"59",-123.051231,49.221755,118275.035,0.000000000000000,0.000000000000000,
123,"59150450",2021S051259150450,0.140100000000000,"59",-123.056760,49.222265,140062.444,0.000000000000000,0.000000000000000,
124,"59150451",2021S051259150451,0.081100000000000,"59",-123.057112,49.219068,81130.422,0.000000000000000,0.000000000000000,
125,"59150452",2021S051259150452,0.083500000000000,"59",-123.056879,49.216972,83485.317,0.000000000000000,0.000000000000000,
126,"59150453",2021S051259150453,0.103300000000000,"59",-123.060552,49.216906,103349.611,0.000000000000000,0.000000000000000,
127,"59150454",2021S051259150454,0.150900000000000,"59",-123.063272,49.217375,150906.635,0.000000000000000,0.000000000000000,4721.342000
128,"59150455",2021S051259150455,0.151400000000000,"59",-123.067393,49.218811,151447.204,0.000000000000000,0.000000000000000,
129,"59150457",2021S051259150457,0.138300000000000,"59",-123.074287,49.216300,138315.659,0.000000000000000,0.000000000000000,
130,"59150459",2021S051259150459,0.100300000000000,"59",-123.074139,49.212861,100319.537,0.000000000000000,0.000000000000000,
131,"59150460",2021S051259150460,0.063700000000000,"59",-123.077593,49.213915,63699.505,0.000000000000000,0.000000000000000,
132,"59150461",2021S051259150461,0.043800000000000,"59",-123.078606,49.215524,43774.652,0.000000000000000,0.000000000000000,
133,"59150462",2021S051259150462,0.042800000000000,"59",-123.081637,49.215551,42791.198,0.000000000000000,0.000000000000000,
134,"59150463",2021S051259150463,0.095800000000000,"59",-123.079639,49.217333,95809.077,0.000000000000000,0.000000000000000,15130.435000
135,"59150465",2021S051259150465,0.067100000000000,"59",-123.079008,49.221200,67133.122,0.000000000000000,0.000000000000000,
136,"59150466",2021S051259150466,0.059900000000000,"59",-123.077150,49.221816,59890.206,0.000000000000000,0.000000000000000,
137,"59150468",2021S051259150468,0.084200000000000,"59",-123.073008,49.220946,84159.335,0.000000000000000,0.000000000000000,
138,"59150469",2021S051259150469,0.082200000000000,"59",-123.074190,49.223928,82194.426,0.000000000000000,0.000000000000000,
139,"59150470",2021S051259150470,0.063700000000000,"59",-123.078018,49.224343,63744.020,0.000000000000000,0.000000000000000,
140,"59150471",2021S051259150471,0.074000000000000,"59",-123.081897,49.223250,74040.771,0.000000000000000,0.000000000000000,
141,"59150472",2021S051259150472,0.058700000000000,"59",-123.083385,49.224426,58733.429,0.000000000000000,0.000000000000000,
142,"59150473",2021S051259150473,0.083800000000000,"59",-123.085589,49.226787,83770.425,0.000000000000000,0.000000000000000,
143,"59150474",2021S051259150474,0.084200000000000,"59",-123.088033,49.224475,84213.200,0.000000000000000,0.000000000000000,
144,"59150475",2021S051259150475,0.082100000000000,"59",-123.089329,49.227291,82090.715,0.000000000000000,0.000000000000000,
145,"59150476",2021S051259150476,0.153100000000000,"59",-123.093536,49.227053,153131.084,0.000000000000000,0.000000000000000,
146,"59150477",2021S051259150477,0.078500000000000,"59",-123.094730,49.224736,78546.227,0.000000000000000,0.000000000000000,
