GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150383,69.23076923076923,9.473684210526317,21.9,0.0,93.0,91.38591890256203,26.2,0.0,0.0,19.5,16.1,17.0,0.0,7.7,83.33333333333333,18.8,10.5,27.906976744186046,51.3,54.7,21.4,53.8,0.0,35.0,54.2,6.3,5.5,59.0,7.7
59150384,61.36363636363637,6.315789473684211,14.6,0.0,98.4,91.18418398224733,29.5,0.0,0.0,18.5,15.7,14.9,2.8,0.0,82.54716981132076,17.0,13.7,39.21568627450981,44.2,68.4,18.2,53.5,0.0,33.3,50.9,8.3,5.0,51.300000000000004,21.0
59150385,43.18181818181818,4.395604395604396,16.1,0.0,98.1,91.68852128303409,35.9,0.0,0.0,31.8,8.4,18.8,1.9,7.5,81.23689727463312,11.4,15.4,36.17021276595745,52.5,47.3,15.4,30.0,0.0,41.0,77.8,0.0,6.0,70.0,30.0
59150386,56.09756097560976,7.317073170731707,11.9,0.0,94.1,93.10066572523704,20.6,0.0,0.0,18.2,15.2,21.2,0.0,5.7,81.23689727463312,19.4,18.3,36.58536585365854,37.1,58.5,23.5,37.1,0.0,34.3,65.3,0.0,5.6,65.7,31.5
59150387,72.91666666666666,4.395604395604396,17.7,0.0,98.5,92.0919911236635,18.4,0.0,0.0,23.9,23.9,19.6,0.0,5.3,85.16771488469601,16.7,16.5,28.57142857142857,44.7,57.1,57.1,55.3,0.0,23.7,84.4,6.5,5.3,71.0,21.1
59150388,62.5,6.081081081081082,7.1,0.0,99.0,91.99112366350616,19.2,0.0,0.0,25.3,18.7,19.6,4.2,5.0,85.03668763102725,13.9,18.2,27.27272727272727,48.3,48.6,30.1,43.3,0.0,26.7,66.9,2.4,5.4,61.7,30.0
59150389,65.71428571428571,4.444444444444445,12.8,0.0,96.7,93.4032681057091,18.7,0.0,0.0,27.6,21.2,24.2,0.0,0.0,85.03668763102725,17.6,19.1,36.92307692307693,39.6,54.4,36.0,39.6,0.0,29.6,82.6,3.8,5.4,67.8,28.400000000000002
59150390,51.5625,9.322033898305085,14.5,0.0,100.0,89.87290700020174,23.9,0.0,0.0,32.3,6.5,20.8,0.0,6.8,81.23689727463312,11.3,19.5,27.77777777777778,45.5,55.1,17.4,43.2,0.0,27.9,76.8,4.8,6.2,68.1,25.0
59150391,27.083333333333332,10.256410256410255,17.4,0.0,96.9,96.22755699011499,20.8,0.0,0.0,15.8,7.9,49.6,8.9,5.3,0.0,11.0,26.9,56.666666666666664,60.5,34.6,41.7,86.8,0.0,8.1,70.3,8.7,4.3,97.4,13.2
59150392,56.09756097560976,0.0,15.9,0.0,97.7,90.5789792213032,10.8,0.0,0.0,56.7,14.4,22.4,0.0,13.8,83.85744234800839,9.3,28.0,50.0,41.4,42.7,21.6,24.1,0.0,25.0,95.9,6.3,5.8,79.3,20.6
59150393,66.66666666666666,6.837606837606838,15.2,0.0,96.7,90.07464192051644,16.4,0.0,0.0,33.6,6.7,20.6,0.0,0.0,78.61635220125785,19.1,18.8,17.857142857142858,30.8,59.8,31.1,41.0,0.0,23.1,88.7,9.1,7.1,64.1,25.6
59150394,47.368421052631575,5.88235294117647,7.9,0.0,100.0,93.4032681057091,30.0,0.0,0.0,62.6,12.1,26.8,0.0,0.0,85.03668763102725,7.5,25.5,42.22222222222222,41.0,43.1,35.0,48.7,0.0,20.5,96.3,5.3,5.6,74.3,35.900000000000006
59150395,50.70422535211267,7.086614173228346,11.5,0.0,97.2,93.90760540649586,26.5,0.0,0.0,62.6,13.7,32.0,0.0,0.0,84.5125786163522,5.1,29.9,49.122807017543856,49.0,43.3,30.6,40.8,0.0,22.9,92.8,5.7,5.5,73.4,26.5
