DGUID,SoVI,Latitude,Longitude,geometry,area
2021S051259151476,50.19319269,49.227,-123.03,-123.03  49.227,164190.1006
2021S051259151477,52.71200304,49.227,-123.026,-123.026  49.227,139191.6438
2021S051259151478,53.13443744,49.226,-123.045,-123.045  49.226,318691.7329
2021S051259151479,58.07923511,49.231,-123.042,-123.042  49.231,86075.29767
2021S051259151483,54.24902604,49.234,-123.042,-123.042  49.234,66657.33672
2021S051259151484,54.60987318,49.234,-123.039,-123.039  49.234,84658.65764
2021S051259151485,57.53894367,49.268,-123.036,-123.036  49.268,140687.6006
2021S051259151486,57.18775914,49.268,-123.032,-123.032  49.268,86661.01995
2021S051259152941,60.78260483,49.205,-123.031,-123.031  49.205,709352.5642
2021S051259152942,47.84538888,49.211,-123.036,-123.036  49.211,668149.8827
2021S051259152943,45.15655574,49.215,-123.037,-123.037  49.215,133942.9953
2021S051259152944,46.5385322,49.216,-123.039,-123.039  49.216,80970.59034
2021S051259152945,49.73687549,49.218,-123.036,-123.036  49.218,268134.8244
2021S051259152946,54.68753387,49.22,-123.029,-123.029  49.22,165773.6132
2021S051259153075,47.52070333,49.241,-123.026,-123.026  49.241,90790.96596
2021S051259153076,37.55328401,49.244,-123.025,-123.025  49.244,50164.22526
2021S051259153077,42.06492802,49.243,-123.029,-123.029  49.243,65094.84701
2021S051259153078,50.64689566,49.246,-123.026,-123.026  49.246,102179.2064
2021S051259153079,51.51057607,49.245,-123.031,-123.031  49.245,73465.66954
2021S051259153080,54.73413355,49.247,-123.031,-123.031  49.247,71517.9178
2021S051259153081,47.65398941,49.219,-123.053,-123.053  49.219,74342.43425
2021S051259153082,40.68709323,49.216,-123.053,-123.053  49.216,86144.65212
2021S051259153083,36.88941357,49.214,-123.057,-123.057  49.214,161575.9091
2021S051259153084,49.47753218,49.216,-123.086,-123.086  49.216,122815.75
2021S051259153085,47.43393258,49.218,-123.087,-123.087  49.218,56091.00142
2021S051259153086,55.96290981,49.219,-123.085,-123.085  49.219,63784.11998
2021S051259153087,59.17226499,49.22,-123.088,-123.088  49.22,86704.10332
