DGUID,Latitude,Longitude,SoVI,geometry,area
2021S051259150364,49.258,-123.068,40.61933372,-123.068  49.258,57779.67618
2021S051259150365,49.255,-123.068,40.98700809,-123.068  49.255,67520.77981
2021S051259150366,49.255,-123.073,45.96768394,-123.073  49.255,117286.8732
2021S051259150367,49.253,-123.069,45.08545672,-123.069  49.253,101428.4422
2021S051259150368,49.253,-123.074,49.24793582,-123.074  49.253,74101.8032
2021S051259150369,49.251,-123.072,51.06127446,-123.072  49.251,77504.69398
2021S051259150371,49.253,-123.078,47.78634954,-123.078  49.253,71209.45409
2021S051259150373,49.25,-123.081,38.1783126,-123.081  49.25,117227.8518
2021S051259150375,49.246,-123.082,53.17444242,-123.082  49.246,73801.11565
2021S051259150376,49.246,-123.084,45.97192529,-123.084  49.246,67478.35677
2021S051259150377,49.244,-123.086,43.0785536,-123.086  49.244,66880.24362
2021S051259150378,49.244,-123.089,49.74349938,-123.089  49.244,57861.35755
2021S051259150379,49.241,-123.088,46.3815121,-123.088  49.241,79974.93686
2021S051259150380,49.239,-123.089,51.02160411,-123.089  49.239,56795.55117
2021S051259150381,49.239,-123.085,45.64703373,-123.085  49.239,72685.4856
2021S051259150382,49.237,-123.088,48.87397805,-123.088  49.237,66575.34109
2021S051259150383,49.237,-123.084,47.43276017,-123.084  49.237,63371.08957
2021S051259150384,49.236,-123.088,44.84841778,-123.088  49.236,58048.89207
2021S051259150385,49.235,-123.083,48.78908838,-123.083  49.235,68768.71561
2021S051259150386,49.234,-123.087,52.10960835,-123.087  49.234,111555.155
2021S051259150387,49.234,-123.082,53.16415225,-123.082  49.234,63652.10698
2021S051259150388,49.231,-123.087,56.99658626,-123.087  49.231,281174.9073
2021S051259150389,49.231,-123.081,56.93571495,-123.081  49.231,102279.2485
2021S051259150390,49.227,-123.082,51.61495299,-123.082  49.227,114792.3235
2021S051259150391,49.229,-123.078,67.96964102,-123.078  49.229,67004.51586
2021S051259150392,49.227,-123.077,55.52896041,-123.077  49.227,136774.4857
2021S051259150393,49.227,-123.073,48.88114544,-123.073  49.227,83462.32505
2021S051259150394,49.227,-123.07,60.79051428,-123.07  49.227,78923.09683
2021S051259150395,49.229,-123.067,63.5177062,-123.067  49.229,79292.8218
2021S051259150396,49.231,-123.07,70.75177611,-123.07  49.231,125797.9841
2021S051259150397,49.23,-123.073,56.2328681,-123.073  49.23,59630.16435
2021S051259150398,49.231,-123.075,46.70690209,-123.075  49.231,64009.44609
2021S051259150399,49.232,-123.078,54.93090699,-123.078  49.232,65396.19533
2021S051259150400,49.234,-123.077,59.18530638,-123.077  49.234,95767.78086
2021S051259150401,49.235,-123.073,57.47752273,-123.073  49.235,92648.035
2021S051259150402,49.237,-123.076,49.664989,-123.076  49.237,170393.8919
2021S051259150403,49.238,-123.072,53.35943721,-123.072  49.238,94896.59741
2021S051259150404,49.239,-123.07,50.00412791,-123.07  49.239,56436.57351
2021S051259150405,49.239,-123.067,54.05539358,-123.067  49.239,65425.09284
2021S051259150406,49.241,-123.069,55.35563643,-123.069  49.241,111779.4028
2021S051259150407,49.243,-123.071,60.27459767,-123.071  49.243,97082.44713
2021S051259150408,49.245,-123.068,55.26037559,-123.068  49.245,81861.66976
2021S051259150409,49.245,-123.07,55.33059459,-123.07  49.245,59610.17505
2021S051259150410,49.246,-123.072,47.57760634,-123.072  49.246,86838.04181
2021S051259150412,49.246,-123.078,55.08063748,-123.078  49.246,59049.10306
2021S051259150414,49.241,-123.078,58.75203867,-123.078  49.241,71066.82264
2021S051259150415,49.243,-123.075,55.70685939,-123.075  49.243,117426.3824
2021S051259150416,49.239,-123.08,53.75670961,-123.08  49.239,89331.2279
2021S051259150417,49.236,-123.08,46.42676817,-123.08  49.236,71007.87881
2021S051259150419,49.242,-123.084,44.59035028,-123.084  49.242,91446.4651
2021S051259150420,49.249,-123.069,51.55342644,-123.069  49.249,86113.50601
2021S051259150421,49.248,-123.066,60.65814012,-123.066  49.248,100279.6801
2021S051259150422,49.251,-123.067,42.74479214,-123.067  49.251,86970.53641
2021S051259150423,49.249,-123.063,58.91485256,-123.063  49.249,132952.9146
2021S051259150424,49.252,-123.062,47.3885332,-123.062  49.252,150503.2382
2021S051259150425,49.251,-123.058,55.49889613,-123.058  49.251,87418.58963
2021S051259150426,49.255,-123.061,52.68092725,-123.061  49.255,285944.7078
2021S051259150427,49.255,-123.055,40.33015594,-123.055  49.255,102616.8631
2021S051259150428,49.255,-123.051,53.87039169,-123.051  49.255,150483.2285
2021S051259150429,49.252,-123.054,50.56988805,-123.054  49.252,109311.7399
2021S051259150430,49.249,-123.054,43.5513253,-123.054  49.249,83256.3165
2021S051259150431,49.249,-123.05,48.29439806,-123.05  49.249,104006.7285
2021S051259150432,49.247,-123.053,54.24129724,-123.053  49.247,132457.9541
2021S051259150433,49.246,-123.055,55.72202324,-123.055  49.246,63003.76466
2021S051259150434,49.244,-123.053,53.79715575,-123.053  49.244,68745.50451
2021S051259150435,49.242,-123.056,60.32136385,-123.056  49.242,68775.37399
2021S051259150436,49.242,-123.052,56.63751298,-123.052  49.242,108577.1269
2021S051259150437,49.24,-123.057,57.00010286,-123.057  49.24,103816.4544
2021S051259150438,49.239,-123.05,57.97780718,-123.05  49.239,88163.0371
2021S051259150439,49.237,-123.051,52.86825793,-123.051  49.237,102628.766
2021S051259150440,49.237,-123.056,56.80552659,-123.056  49.237,113059.3937
2021S051259150442,49.234,-123.051,52.7586536,-123.051  49.234,104672.3863
2021S051259150443,49.231,-123.053,51.31672252,-123.053  49.231,118551.5094
2021S051259150444,49.231,-123.049,54.97841509,-123.049  49.231,101509.4235
2021S051259150445,49.229,-123.051,51.35695872,-123.051  49.229,88095.09114
2021S051259150446,49.227,-123.05,48.01746917,-123.05  49.227,83645.29293
2021S051259150447,49.226,-123.053,58.78785136,-123.053  49.226,78761.87094
2021S051259150448,49.223,-123.053,58.50308643,-123.053  49.223,101408.9858
2021S051259150449,49.222,-123.051,51.8980612,-123.051  49.222,118275.0351
2021S051259150450,49.222,-123.057,49.38062135,-123.057  49.222,140062.4443
2021S051259150451,49.219,-123.057,48.872422,-123.057  49.219,81130.42213
2021S051259150452,49.217,-123.057,51.09000511,-123.057  49.217,83485.31665
2021S051259150453,49.217,-123.061,51.11854319,-123.061  49.217,103349.6114
