Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
12.8,12.8,20.6,2.9,36.8,8.4,48.7,25.6,15.9,0,0,0,19.8,12.9,45.2,0,90.4,17.9,78.6,4.2,28.0,8.5,97.1,92.3,15.9,11.4,6,5.1,0.0
9.5,23.8,22,0,34.8,12.4,36.6,36.6,27.8,0,0,0,23.8,10.5,44.8,0,87.9,17.1,81.2,2.5,27.1,12.7,96.6,83,8.3,9.5,6.6,9.8,0.0
7.3,7.3,14.3,4.9,32.1,11.7,46.4,28.6,21.1,0,0,0,15.8,17.6,52.1,1.8,87.6,10.7,79.9,5.1,51.7,5.1,100,62.5,25,18.4,5,0,0.0
0,0,13.3,4.2,27.7,14.1,33.3,50,15.6,0,0,0,17.8,8.9,38.2,0,86.3,16.7,83.9,5.1,22.0,4.2,98.1,70.1,12.5,10.2,5.6,6.7,0.0
10.7,10.7,0,6.2,28.7,12.3,31.4,42.9,21.6,0,0,0,9.6,0,36.8,0,85.7,20,83.9,4.2,22.9,5.9,95.2,80,16.2,16,5.6,0,0.0
0,16.1,21.4,6.8,40,12.5,39.3,28.6,20,0,0,0,23.8,15,58.8,0,89.6,21.4,86.2,3.4,16.9,8.5,97.7,75,26.7,16.3,6,0,0.0
8.1,10.8,10.5,0,26.4,7,47.4,34.2,29.3,0,0,0,13.9,5.6,48.6,2.8,89.2,28.9,85.0,5.9,29.7,7.6,100,73.7,24.4,24.8,5.2,15.8,0.0
13.3,0,17,6.2,48.2,14.1,70.2,61.7,20.5,0,0,0,29.8,4.3,51.6,0,95.0,48.9,85.0,7.6,21.2,8.5,95.2,87.2,41,12,4.5,6.4,0.0
10.5,23.7,9,3.7,33.7,8.8,50,57.1,15.2,0,0,0,18.2,10.9,50.9,2.7,92.4,30.4,86.0,8.5,24.6,9.3,98.7,89.4,34.8,20.2,4.5,3.6,4.2
6.8,9.1,20.8,6.7,41.4,16,56.6,47.2,23.3,0,0,0,28,0,50,3.4,91.9,24.5,83.9,5.9,24.6,7.6,98.6,77.4,11.6,12.8,4.3,7.5,4.2
0,11.8,26.2,0,28.4,7.5,47.6,42.9,35.9,0,0,0,10.3,13.8,35.6,3.4,91.8,19,87.8,2.5,26.3,6.8,100,92.9,17.9,10.6,4.3,14.3,0.0
6.1,12.2,17.4,2.5,36,12.3,32.6,30.4,11.7,0,0,0,10.9,13.9,50.7,0,88.2,26.7,84.4,3.4,36.4,11.0,97.7,82.7,20,10.4,5.6,8.7,0.0
8,16,22.5,11.5,43.4,10.4,52.5,55,12.5,0,0,0,7,0,25.6,2.3,92.0,27.5,81.2,5.1,20.3,9.3,100,97.5,18.8,14.1,4.9,7.5,0.0
11.1,7.4,13.2,12.5,38.4,20.8,84.2,60.5,13.5,0,0,0,12.3,12.3,42.7,9.8,95.3,28.9,84.2,1.7,22.9,7.6,100,92.2,51.4,11.1,3.9,7.9,0.0
15.4,7.7,11.3,7.4,29.9,14.8,79.2,64.2,27.9,0,0,0,3.1,15.5,34.7,13.3,94.4,37.7,91.7,8.5,24.6,7.6,96.9,88.7,37.2,19.6,3.8,9.4,0.0
8.8,29.4,5.6,4.2,29.7,7.3,45.1,64.8,29.8,0,0,0,10.3,5.1,26.5,3.4,93.2,18.3,97.0,8.5,33.9,5.1,100,94.3,15.8,16.4,3.5,8.5,0.0
16.3,14.3,12.8,7.5,27.8,9,47.2,64.8,26.1,0,0,0,7.8,6.3,25.7,1.9,94.0,24.8,96.6,9.3,55.9,22.9,97.9,62.4,12,20.1,2.9,8.8,4.2
4.4,4.4,28.9,10,43.9,21.1,65.2,63.8,20,0,0,0,29.9,0,49.2,0,93.8,24.3,90.8,12.7,17.8,15.3,100,73.9,30,18.4,3.6,7.2,12.5
16.7,16.7,8,5.1,22.6,9.6,48,44,26.3,0,0,0,15.5,3.4,33.3,0,92.4,24,82.5,5.9,11.0,4.2,100,92,31.6,29.3,5.8,12,0.0
18.8,18.8,8.7,0,52.2,8.9,65.2,52.2,15.8,0,0,0,20.4,0,37.5,0,90.6,21.7,89.8,2.5,12.7,5.1,94.1,100,15.8,32.7,4.9,13,0.0
0,7.4,19.6,11.7,37,18.5,76.5,64.7,21.6,0,0,0,22.8,0,37,4.3,94.4,33.3,81.2,3.4,26.3,8.5,100,90.2,16.2,18.5,3.6,7.8,0.0
8.8,21.3,36.1,47.3,83.2,56.5,100,83.7,15,0,0,0,21.1,0,56.7,22.2,98.6,10.5,84.2,5.9,10.2,44.9,96.8,93,25,16.5,3,10.5,0.0
0,13.6,8,6.9,57.8,15.6,76,56,15,0,0,0,46.2,9.6,69.2,0,90.6,28,84.2,1.7,11.9,8.5,100,88,20,28.8,4,8,0.0
0,17.5,12,13.1,41.8,20.1,77,73,26.2,0,0,0,18.2,0,38.4,3.5,94.7,27.8,97.0,15.3,34.7,32.2,97.5,39.7,16.4,20.9,2.9,7.1,0.0
0,4.8,61.8,9.5,52.7,27.2,96.4,50.9,17.6,0,0,0,58.5,0,66,3.8,96.7,23.6,84.2,3.4,16.1,16.1,100,94.6,17.6,8.6,3.2,3.6,0.0
6.7,10,21.6,18.5,43.4,25.3,82.4,70.6,20.7,0,0,0,33.3,0,48.1,6.5,96.9,23.5,95.6,6.8,19.5,11.9,93.8,56.9,37.9,33.3,3,13.7,0.0
0,13.3,45.2,33.3,65.5,40.7,96.2,100,50,0,0,0,0,0,21.4,10.7,100.0,15.1,84.2,5.9,2.5,26.3,92.3,96.2,33.3,3.5,2,11.3,8.3
0,0,52.3,23.8,54.5,36.4,100,97.7,0,0,0,0,0,0,13.6,11.4,90.6,30.2,84.2,0.0,0.0,25.4,92.3,86.4,0,11.4,1.9,9.1,8.3
0,11.8,32.8,5.9,32.7,16.3,69.9,78.1,22.9,0,0,0,19.6,0,32.4,2.9,96.4,27.4,93.7,1.7,26.3,12.7,100,98.6,11.4,11.8,2.6,6.8,8.3
13.3,13.3,15.7,14.3,62.2,16.2,96.9,93.8,11.1,0,0,0,18.4,0,37.8,21.6,90.6,21.9,84.2,4.2,6.8,5.9,100,81.4,38.9,7.9,2.3,6.3,0.0
5.1,12.8,6.2,2.7,24.2,3.6,64.3,59.7,21.1,0,0.8,0,15.9,3.2,52.2,0,90.9,35.4,93.0,13.6,69.5,15.3,96.8,62.9,26.3,23.9,3.4,12.4,0.0
8.9,16.7,9.4,3.6,20.3,5.6,50,65.6,28,0,0,0,16.4,2.8,48.6,0,91.4,33.6,94.3,14.4,55.9,13.6,98.1,63.3,13.3,22.6,3.6,3.1,0.0
0,14,10.5,5.1,26.9,8.6,56.1,57.9,28.9,0,0,0,11,3,55,2,92.8,38.6,95.7,5.1,30.5,11.0,100,71.9,7.9,22.2,3.3,7,0.0
4.2,14.6,18.2,7,22.8,8.1,77.3,73.9,21.6,0,0,0,9.6,2.4,48,0,96.4,38.6,96.6,11.0,31.4,14.4,95.4,56.9,37.8,36.8,2.7,5.7,0.0
4.1,18.5,6,4.3,19.9,6.1,68.9,79,17,0,0.6,0.6,14.4,2.2,52.1,1.1,94.2,38.4,94.3,25.4,94.1,25.4,96.4,30.6,19.6,31.2,2.5,1.9,0.0
5,10.9,13.3,1.1,16.1,1.3,63.7,54.1,25,0,0,0,13.6,0,43.2,0,88.7,28.9,91.7,16.1,60.2,18.6,97.7,37.7,14.5,29.1,3.4,17.8,0.0
6.5,26.1,21,0,32.6,6.5,46.5,55.8,29.4,0,0,0,12.6,1.9,53.4,0,88.5,22.7,89.1,0.0,23.7,7.6,100,95.4,11.8,12.5,5,14,0.0
7.5,17,27.7,0,23.6,3.3,56.6,77.1,13.2,0,0,0,15,1.4,37.6,1.4,92.5,34.9,89.1,9.3,27.1,11.9,96.4,87.9,15.8,17.9,3.6,3.6,0.0
8.5,14.9,31.2,0,22.6,1.9,31.2,54.4,16.7,0,0,0,15.5,2.7,38.1,0,86.9,24.8,87.8,6.8,50.8,26.3,97.7,81.6,12.5,18.4,4.1,12.8,0.0
0,25,14.9,3.7,23.4,7.3,71.3,77,14.8,0,0,0,12.4,1.8,42.9,1.8,96.9,39.1,97.6,5.1,30.5,13.6,100,98.8,24.1,29.2,2,10.3,0.0
3.4,8.6,15.8,2.6,24.7,7.2,59.6,62.3,28.4,0,0,0,3.3,0,27,2.3,92.5,30.7,95.0,16.9,46.6,14.4,98,98.2,20.5,22.6,3.7,7,0.0
7.8,12.5,36.8,5.2,32.5,13.5,83.2,81.6,22.9,0,0,0,5.7,2.5,29.6,1.9,96.6,43.2,93.0,10.2,35.6,22.9,100,81.6,16.7,17.2,2.4,6.4,0.0
0,19.4,15.2,3.5,23.8,5.8,73.9,68.1,26,0,0,0,4.6,1.7,38.9,1.7,95.6,37,95.9,12.7,42.4,16.1,98.5,90.8,19.2,25.6,3.1,7.6,0.0
8.3,16.7,11.4,3.5,27.9,4.4,70.5,65.9,16,0,0,0,0,0,11.3,3.8,94.1,22.7,98.3,5.1,16.9,4.2,98,97.7,28,15.6,3.6,9.1,0.0
0,0,13,3.2,28.4,5.3,65.2,58.7,25.6,0,0,0,0,0,12.5,2.5,92.9,26.1,95.0,0.0,26.3,4.2,100,93.5,18.6,25,3.5,13,0.0
6.7,10,6.1,3.7,23.2,4.3,98.5,60.6,24.4,0,0,0,2,6.9,37.6,0,95.1,35.8,84.2,5.9,31.4,6.8,100,95.4,33.3,32,2.6,6.1,0.0
9.1,9.1,12.5,2.3,29.5,5.7,94.4,72.2,18.6,0,0,0,1.8,3.6,27,1.8,96.1,38.9,84.2,8.5,28.0,5.9,98.8,95.8,20.3,25.7,2.8,5.6,0.0
8,12,19.9,3.3,22.9,4.9,80,66.7,20.6,0,0,0,8.2,3.5,29.4,0,95.5,31.7,97.0,3.4,22.0,9.3,98.4,98.3,17.6,25,3,13.3,0.0
9.1,0,10,0,26.9,2.5,94,56,35.3,0,0,0,5.6,5.6,33.3,0,94.2,42,84.2,5.9,22.9,5.9,100,98,17.6,39.3,3.5,12,0.0
8.3,13.9,6.6,2.7,28.4,3.4,100,60.7,22.2,0,0,0,6.7,2.2,29.2,3.4,95.9,45.9,84.2,5.9,22.0,5.1,98.6,98.4,33.3,26.7,3.2,8.2,4.2
0,10.7,28.4,3.5,22.2,7.5,65,73.3,20.7,0,0,0,7.5,0,22.2,2.5,94.7,38.3,99.8,5.1,17.8,14.4,100,95,34.5,21.3,2.8,6.7,4.2
0,7.9,24,2.8,16.8,6.3,62,74.6,11.1,0,0,0,7.8,0,27.5,2,92.7,26.8,98.6,5.9,23.7,7.6,97.1,95.8,5.6,13,3.1,12.7,0.0
3.2,11.1,28.7,0,23.3,7.8,70.1,66.7,24.5,0,0,0,6.1,1.5,25.8,1.5,92.8,32.6,89.1,5.1,34.7,12.7,100,98.7,7.5,11.5,3.3,9.2,4.2
0,9.1,20.7,0,20.9,3.5,98.8,72,35.3,0,0,0,1.7,0,33.3,2.6,93.9,42.7,84.2,6.8,24.6,6.8,96.4,100,11.8,19,2.8,3.7,0.0
0,15.4,11.6,1.6,16.4,3.5,87.4,72.8,18,0,0,0,6.7,6.7,35.3,0,94.9,41.3,87.8,8.5,39.0,9.3,98.3,69,19.7,21.6,2.5,6.8,8.3
0,8.3,40.6,0,31.7,0,78.1,81.3,19.2,0,0,0,3.4,0,12.6,2.3,95.7,42.2,91.7,3.4,20.3,11.0,100,101.6,15.4,18.6,3.2,7.8,0.0
7.4,0,5.5,2.9,21.1,9.2,87.3,63.6,20,0,0,0,2.6,3.8,32.1,7.7,94.8,27.8,84.2,7.6,18.6,5.9,98.4,92.7,37.1,20.5,2.9,20,4.2
0,0,5.9,3.5,21.7,2.9,96.1,74.5,18.9,0,0,0,5.5,0,76.4,0,95.7,43.1,84.2,7.6,17.8,2.5,100,84.3,35.1,39.4,2.6,7.8,0.0
0,13.3,15.5,0,12.2,4.1,76.2,73.8,18.3,0,0,0,3.8,2.3,34.4,0,94.5,33.3,96.4,4.2,42.4,13.6,100,97.6,16.7,26.7,3,7.1,0.0
3.4,6.8,12.7,0,18.2,4.1,84.3,69.6,19.7,0,0,0,5.6,1.3,35.6,0,94.7,37.3,95.0,6.8,52.5,10.2,98.4,63.7,22.5,28.7,3,2.9,4.2
6,12.9,10.8,1.9,18.7,3.7,55.1,61,15.2,0,0.7,0,20.2,5,61.8,0.4,90.3,40.1,89.1,27.1,135.6,50.8,98.4,46.4,17.7,25.6,3.7,9.1,4.2
10,10,30.2,0,24.1,6.3,64.2,66,31,0,0,0,3.4,2.3,11.5,0,92.6,32.1,93.4,2.5,17.8,8.5,98.2,101.9,20.7,19.8,3.9,3.8,4.2
4.5,29.5,31.7,2.3,32.5,4.8,43.5,62.4,18.2,0,0,0,7.6,0,26.5,0,91.7,20,95.0,3.4,31.4,20.3,100,101.3,20.5,12.2,3.3,5.9,0.0
12,16,43.5,3.4,28.6,6.2,60.5,77.6,28.1,0,0,0,2,0,15.3,0,94.9,36.8,97.6,5.1,22.0,14.4,100,97.4,12.5,20.6,3.5,10.5,8.3
0,28.1,30.6,0,25.3,4.2,90.3,73.6,16.3,0,0,0,2.9,1.9,24.3,0,96.1,38.9,84.2,5.9,25.4,6.8,97.3,97.3,34.9,22.5,2.9,4.2,4.2
6.1,8.2,31.7,0,21.7,4.6,50,65.9,25.5,0,0,0,5.8,1.5,18.4,1.5,92.1,23.9,96.4,9.3,29.7,16.9,96.5,98.8,21.3,16.1,3.4,14.8,4.2
7.7,15.4,35.2,6.8,32.1,9.4,74.6,60.6,31,0,0,0,1.8,0,21.1,5.3,96.2,43.7,96.3,8.5,20.3,13.6,95.7,97.2,26.2,12.4,3.1,2.8,0.0
8,16,14.4,0,18.4,3,91.3,62.3,22.9,0,0,0,3.9,4.9,27.2,0,94.7,31.9,84.2,7.6,31.4,6.8,97.6,98.4,22.9,25.5,3,5.8,4.2
0,14.3,50,0,14.5,2.6,35.7,52.4,19,0,0,0,3.6,0,9.5,0,72.4,26.2,70.8,3.4,14.4,11.0,97.6,85.6,14.3,9.5,5.9,4.8,0.0
0,22.7,17,0,23.5,2.3,54.7,60.4,30.8,0,0,0,6.2,0,16.5,0,88.1,30.2,81.2,4.2,26.3,6.8,98.5,88.7,15.4,9.5,4.5,11.3,0.0
9.1,13.6,19.5,0,16.2,1.9,73.6,61.1,28,0,0,0,3.7,1.8,15.6,1.8,94.2,36.1,97.0,0.0,34.7,4.2,97.7,100,16,18.3,3.4,5.6,16.7
7.4,0,10,0,14.5,2.4,85,66.7,10.7,0,0,0,7,0,19.8,0,93.7,45.8,94.6,3.4,32.2,5.9,100,96.7,17.9,22.6,3.3,8.3,0.0
5.9,14.7,18.3,2.2,18.6,2.7,81.7,70.7,30.2,0,0,0,6.4,0,16.8,1.6,91.5,31.7,85.2,9.3,31.4,7.6,97.8,92.8,18.6,28,3.5,12.2,0.0
0,8.7,18.8,0,12.1,0,100,66.7,14.3,0,0,0,3,0,12.3,0,95.1,41.7,84.2,3.4,22.0,5.9,98.1,97.9,14.3,22.7,2.7,4.2,0.0
10.7,10.7,16.3,0,13.6,0,70.3,56.8,26.1,0,0,0,4.1,0,12.4,0,84.0,23,89.1,2.5,33.1,7.6,98.9,97.2,15.2,18.8,3.5,0,0.0
9.1,21.2,35.3,0,14.2,0,56.1,73.2,28.9,0,0,0,7,2.6,19.1,1.7,93.6,23.2,93.7,5.1,32.2,10.2,100,98.8,13.2,16.5,3.3,8.5,0.0
11.4,0,23.9,0,13.9,0,52.2,55.2,34.9,0,0,0,6.8,0,21,0,92.5,31.8,95.6,5.9,38.1,7.6,95.6,98.5,23.3,27.1,4,4.5,0.0
11.8,29.4,31,0,13,0,29.6,67.6,41,0,0,0,3.1,0,13.2,0,87.1,25,89.2,4.2,33.9,11.9,98.7,90.2,10.3,13.2,4.2,5.6,0.0
13.6,6.8,27.8,0,19.8,2.5,70.8,50,22.9,0,0,0,5.3,0,14.9,0,90.8,25,76.0,2.5,33.1,10.2,97.6,87.5,20.8,24.4,4.5,9.7,0.0
15.4,11.5,49,0,24.2,6.3,32.7,51,15.4,0,0,0,10.6,0,21.4,2.9,67.4,28.6,62.9,4.2,21.2,14.4,98.2,79.5,7.7,12.6,6.1,8.2,8.3
0,15,37.8,0,18,0,40.5,70.3,23.5,0,0,0,11.3,9.7,24.2,0,88.9,21.6,85.2,4.2,13.6,5.1,95,102.7,23.5,6.6,4.4,10.8,0.0
9.7,6.5,45.1,13.6,48.2,22,100,78.4,9.5,0,0,0,8.3,0,20,2.1,97.4,15.7,84.2,2.5,12.7,21.2,93.3,99.9,9.5,10.4,3.2,5.9,4.2
12.5,21.9,20.4,4.5,33,9.2,49,61.2,32.4,0,0,0,10.8,6.7,28.9,0,86.1,22.4,90.4,2.5,28.8,6.8,100,83.8,8.1,21.8,5.4,6.1,8.3
12.5,27.1,22,0,25.8,6.8,31.7,48.8,13.6,0,0,0,30.6,0,57,0,78.9,36.6,39.3,2.5,17.8,11.0,93.8,61,13.6,16.8,7.2,12.2,0.0
12.8,21.3,34.3,0,30.2,7,31.4,45.7,13.6,0,0,0,40.4,0,53,0,85.3,55.6,72.1,3.4,18.6,20.3,97.8,65.7,22.7,16.2,7.1,0,0.0
12,24,32.4,0,32.6,2.2,18.9,43.2,23.3,0,0,0,34,0,50.5,0,84.3,28.9,65.3,3.4,22.9,13.6,96.1,64.9,20,20.4,7.6,5.4,0.0
10.9,19.6,18.7,5.3,35.1,13.4,37.2,65.1,9.1,0,0,0,38.2,0,52.8,0,91.3,34.9,68.1,2.5,16.1,16.9,93.2,72,13.6,16.3,6.3,11.6,0.0
12.1,9.1,23.7,0,29.8,5.3,36.8,55.3,31.8,0,0,0,16.8,0,37,0,83.9,31.6,72.1,3.4,25.4,11.0,98.4,68.4,27.3,18,6.7,5.3,0.0
6.3,16.7,32.4,0,20.8,5.6,17.6,35.3,16.7,0,0,0,36.3,0,54.4,0,82.7,29.4,54.0,3.4,14.4,11.9,100,85.3,0,10.1,7.6,5.9,0.0
18.4,18.4,27.5,0,23.8,13.1,20,47.5,24,0,0,0,28.3,0,45.3,0,86.3,27.5,72.1,5.9,19.5,11.9,94.3,77.5,16,12.3,6.6,5,0.0
5.3,24.6,15.7,2.8,40.2,14.4,33.3,52.9,22.2,0,0,0,34.6,3.1,51.2,0,92.4,43.1,76.0,7.6,23.7,18.6,91.9,62.7,13.9,24.4,5.4,5.9,0.0
20.4,11.1,39,0,20.4,5.4,19.5,43.9,0,0,0,0,41.3,0,51.4,0,85.9,29.3,72.1,4.2,19.5,12.7,98,83,13.6,3.7,7.1,0,0.0
9.5,26.2,14.3,0,25.3,9.6,33.3,42.9,30.3,0,0,0,27,0,41.8,0,88.2,33.3,70.8,1.7,27.1,11.9,100,73.7,12.1,18.2,6.3,4.8,0.0
5.6,27.8,26.5,0,35.5,12.1,32.7,59.2,31.6,0,0,0,32.8,0,41.4,0,86.1,42.9,70.0,2.5,23.7,15.3,96.8,77.5,15.8,16.3,6.8,0,0.0
10.3,20.5,25.7,0,31,11.6,33.3,53.8,14.8,0,0,0,35.2,3.7,52.3,0,88.0,25.6,73.4,4.2,16.1,15.3,95.8,84.6,11.1,7.6,7.3,0,0.0
13,19.6,36.7,0,30.7,8.9,30.6,55.1,30,0,0,0,27.2,1.8,49.1,0,86.9,34.7,72.1,3.4,21.2,15.3,100,67.4,26.7,11.4,6.3,14.3,0.0
14.7,23.5,30,0,27.7,9.2,26.7,40,32,0,0,0,34.2,3.8,49.4,0,86.7,33.3,68.1,1.7,16.9,6.8,100,83.4,8,22.8,7.2,10,0.0
10.8,32.4,23,0,26.4,14.3,23.1,46.2,6.5,0,0,0,38,0,48.6,0,82.3,25.6,67.6,3.4,23.7,11.0,98.4,76.9,0,3.7,7.9,0,0.0
4.3,27.7,19.9,0,30.8,8.7,51.1,48.9,12.1,0,0,0,22.6,0,40.5,0,88.5,40,68.1,2.5,24.6,16.9,98.3,64.4,18.2,35.7,6.4,4.4,0.0
4.5,31.8,17.6,3.9,37.3,11.9,20.6,38.2,35,0,0,0,26.5,0,47.1,0,83.9,52.9,65.5,4.2,18.6,16.1,98,79.4,15,17.8,6.7,5.9,4.2
14.7,20.6,20,0,35.8,16,16.7,40,17.6,0,0,0,35,0,53,0,80.7,43.3,59.2,4.2,10.2,16.9,93.9,73.4,0,20,8,0,0.0
5.3,23.7,32.4,0,31.9,10.6,21.6,45.9,40,0,0,0,26.2,0,33.6,0,82.3,18.9,59.2,2.5,17.8,17.8,93.8,78.4,12,8.3,8.2,0,0.0
12.9,12.9,37.6,5.1,28.2,11.1,31.3,40.6,20.8,0,0,0,21.3,0,33.8,0,88.8,37.5,68.7,3.4,16.9,8.5,97.7,84.5,20.8,15,7.9,12.5,0.0
13.2,15.1,22.9,0,29.2,8.8,33.3,54.2,17.6,0,0,0,26.5,0,49.2,0,81.7,29.2,66.8,5.1,23.7,16.1,97.1,58.4,11.8,12.9,7.2,8.3,0.0
16.2,18.9,23,0,27.9,8.1,20.5,35.9,18.8,0,0,0,36.4,0,51.5,0,83.1,33.3,72.1,3.4,19.5,10.2,98,61.5,12.5,8.1,7.4,0,0.0
20.7,17.2,29.7,3.9,31.9,7.7,18.9,40.5,16.7,0,0,0,23.1,5.8,39.4,0,77.9,27,55.0,2.5,16.9,14.4,98,86.4,11.1,14.4,8.1,0,0.0
10,20,17.2,0,34,10.6,28.6,42.9,14.3,0,0,0,26.5,1.8,54.9,0,84.5,37.1,65.3,5.1,28.8,15.3,96.9,88.5,7.1,14.2,9,8.6,0.0
9.5,16.7,34.3,3.6,30.4,10.9,26.3,57.9,14.8,0,0,0,34.9,0,47.3,0,72.0,28.9,68.1,6.8,18.6,9.3,96.7,76.3,7.4,16.5,8.5,5.3,0.0
6.1,18.4,41.7,0,24.4,3.6,22.2,47.2,9.1,0,0,0,46,0,61.4,0,81.5,33.3,58.7,1.7,11.9,14.4,97.4,63.9,0,15,8.2,0,0.0
6.5,15.2,32.3,0,40.5,12.9,17.6,44.1,31.6,0,0,0,40.2,5.4,58.7,0,77.3,42.9,46.1,2.5,13.6,18.6,97.3,47.1,10.5,8.6,8.1,0,0.0
6.1,9.1,50.1,0,31.1,6.7,9.4,46.9,29.4,0,0,0,36.5,0,38.1,0,75.0,31.3,52.4,3.4,9.3,14.4,100,78.2,0,4.8,8.9,6.3,0.0
8.3,16.7,31.4,5.8,33.3,9.6,22.9,45.7,9.5,0,0,0,35.2,0,53.3,0,87.5,31.4,52.4,4.2,14.4,15.3,95.2,54.2,23.8,12,7.4,0,0.0
5.3,15.8,34.5,0,32,4,31,41.4,30.4,0,0,0,42,0,58,0,81.9,27.6,65.5,3.4,21.2,9.3,97.9,89.6,17.4,5.6,7.6,6.9,0.0
11.6,18.6,31.4,0,25.6,5.2,22.9,57.1,0,0,0,0,51.6,0,74.7,0,89.1,31.4,55.0,5.9,12.7,11.9,92.3,80,0,2.1,7.7,0,0.0
25.9,22.2,20,0,25.3,13.2,30,63.3,23.8,0,0,0,19.8,0,35,0,72.6,23.3,65.5,5.1,12.7,14.4,87.8,76.7,19,7.4,7.1,0,0.0
7.8,27.5,30.4,0,24.7,8.1,21.2,36.4,13.6,0,0,0,35.1,0,49.5,0,69.4,25,52.4,0.0,16.1,23.7,97.4,78.9,22.7,14.4,8.5,6.1,4.2
16.7,22.2,20.1,0,29.2,8.3,36.7,36.7,6.7,0,0,0,29.1,0,45.3,0,86.7,36.7,59.2,0.0,17.8,8.5,100,76.7,10,25.6,6.5,0,0.0
7.4,14.8,22.9,0,30.9,11.3,22.9,42.9,17.2,0,0,0,25.8,0,33.3,0,80.5,35.3,66.6,5.1,17.8,13.6,91.5,68.6,20.7,18,7.2,0,0.0
7,14,38.5,0,18.3,2.8,38.5,53.8,28.6,0,0,0,12.1,0,34.7,0,89.2,34.6,65.5,6.8,19.5,16.9,94.5,76.9,9.5,18.5,6.9,3.8,0.0
20.6,14.7,26.9,6.7,32.3,5.4,59.6,57.7,17.4,2,0,0,22.4,0,46.5,0,93.1,48.1,70.8,5.9,19.5,14.4,96.4,84.6,21.7,22.2,4.7,3.8,0.0
17.8,15.6,37.4,0,31.5,11.8,57.1,51.8,18.5,0,0,0,23.8,3.3,37.4,0,91.5,39.3,73.4,3.4,26.3,15.3,98.5,85.6,14.8,22,4.8,3.6,0.0
8.6,25.9,21.7,0,21.1,4.5,42,50.7,16,0,0,0,21.1,2,38.8,0,85.7,30.4,78.6,6.8,40.7,12.7,99,46.3,22,15.3,4.9,2.9,0.0
17.2,19,28,0,21.4,4.9,48,46,30,0,0,0,32.5,0,51.7,1.7,85.3,24.5,68.1,9.3,18.6,18.6,94.7,76,10,12.6,6.1,6,0.0
10.7,14.3,29.6,0,10.4,4.5,33.3,40.7,23.5,0,0,0,21.8,0,37.2,0,80.7,25.9,66.8,3.4,18.6,7.6,100,77.7,11.8,25.3,6.9,18.5,0.0
9.7,12.9,37.5,0,19.1,4.4,25,43.8,14.3,0,0,0,15.8,0,24.7,0,84.5,28.1,72.1,3.4,16.1,12.7,100,81.3,19,19.7,7.6,6.3,0.0
9.7,29,35.8,0,21.7,4.3,7.1,35.7,25,0,0,0,29.9,6.5,59,0,71.0,22.2,64.2,0.0,16.1,11.9,97.6,75,0,11.5,8.3,0,0.0
15.2,17.4,44.8,0,19.3,2.4,21.1,50,45.5,0,0,0,33.7,0,42.1,0,83.7,34.2,59.2,1.7,13.6,17.8,100,68.5,13.6,11.6,7.2,0,0.0
0,15.4,57.6,0,23.6,4.2,9.1,48.5,20.7,0,0,0,17.5,0,35,0,73.0,24.2,52.4,4.2,13.6,10.2,97.7,87.9,24.1,20,8,0,8.3
13.5,18.9,39.5,0,27.6,6.6,27.3,60.6,8.7,0,0,0,25,0,40.9,0,77.9,30.3,26.2,1.7,17.8,10.2,100,78.7,13,19.3,7.3,12.1,0.0
0,17.6,48.3,5.1,35.9,12.8,17.2,41.4,17.6,0,0,0,31.5,5.6,47.2,0,45.4,41.4,0.0,3.4,11.9,18.6,97.4,62,11.8,11.4,9.7,10.3,0.0
11.1,0,28.5,5.1,26.5,5.8,25,35.7,0,0,0,0,26.8,0,43.2,0,73.4,28.6,65.5,2.5,15.3,8.5,100,67.8,19,29.6,8.3,10.7,0.0
4.2,16.7,43.9,4.3,15.2,3.3,17.1,48.8,21.1,0,0,0,34,3,46,0,81.7,29.3,52.4,1.7,16.1,16.9,95.3,80.5,0,19,7.5,9.8,0.0
0,0,28.6,26.6,55,33.3,11.9,59.5,16.3,1.5,0,0,3.7,0,3,83,93.1,0,84.2,3.4,22.0,17.8,98.4,0,9.3,4.5,6.8,21.4,0.0
8.3,8.3,34.9,7.8,46.3,13,14,44.2,13.3,0,0,0,22.1,0,26.2,0,58.1,25.6,52.4,2.5,23.7,15.3,96.8,81.4,6.7,7.4,8.4,4.7,12.5
0,8.3,11.5,0,23.8,4.8,19.2,46.2,0,0,0,0,21.7,0,47.8,0,85.1,46.2,26.2,1.7,14.4,5.1,100,88.5,12.5,4.3,10.4,11.5,0.0
7,20.9,31.7,0,27.7,4.2,14.6,36.6,22.9,0,0,0,28.6,0,48.3,0,76.9,26.8,60.3,2.5,22.0,11.9,100,75.6,5.7,3.4,8.5,4.9,0.0
7.7,20,42,0,24.1,3.7,16,60,17.2,0,0,0,46.6,0,64.7,0,85.3,20,69.7,3.4,22.9,17.8,100,62,10.3,10.5,6.6,0,0.0
