Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
6.4,9,33.3,16.3,49.2,24.8,43.8,43.8,16.9,0,0,0,37.4,29.9,84.5,0,91.2,10.4,85.0,8.5,36.4,15.3,96.6,70.9,32.4,13.3,5.8,8.3,0.0
0,15.5,26.2,9.9,54.2,18.7,47.6,40.5,29.2,0,0,0,30.5,23.4,80.3,0,92.9,31.7,83.9,7.6,28.0,15.3,95.7,71.4,35.4,14.3,5.8,9.5,0.0
6.6,18,23.5,8.1,43.1,12.1,40.4,44.7,18.2,0,0,0,30.8,15.8,76.5,1.5,91.8,27.7,82.8,6.8,28.8,11.9,100,63.9,27.3,19.5,6.1,0,4.2
5.3,19.3,32.6,12.1,44.1,19.6,43.5,52.2,18.4,0,0,0,30.7,5.3,72.8,0,93.9,27.7,85.2,5.9,20.3,12.7,92.1,74,26.3,11.4,5.9,0,0.0
5.5,12.7,29.4,4.9,51.6,12,38.2,35.3,14,0,0,0,35.6,15.4,77.9,0,91.9,17.6,83.9,8.5,26.3,10.2,98.6,73.5,26,6.8,5.7,5.9,0.0
0,14.8,22.2,11.9,45.3,15.8,55.6,47.2,20.8,0,0,0,30.4,26.8,86.6,0,92.0,27.8,85.0,5.1,34.7,9.3,100,86.1,35.8,14.4,5.1,5.6,0.0
0,11.5,34.7,15,60.7,20.6,28.3,45.7,11.1,0,0,0,40.8,3.3,76,0,93.7,21.7,85.2,5.1,21.2,20.3,100,58.6,22.2,10,6,10.9,0.0
4.8,15.4,24.6,18.2,62.2,25.6,38.6,42.1,19.1,0,0,0,43.8,7.3,90.4,0,92.1,21.1,83.9,10.2,35.6,18.6,96.9,70.2,33.8,8.5,5.7,5.3,0.0
2.9,11.8,30.7,9,54.7,18.8,51.9,53.8,19.6,0,0,0,33.3,16.7,72.7,0,93.8,23.1,85.2,3.4,28.0,23.7,97.1,63.4,30.4,9.2,4.8,5.8,0.0
3.8,5.8,20,20.3,49.5,28.9,31.4,51.4,16.7,0,0,0,29.4,4.6,72.5,0,90.1,27.8,85.7,6.8,27.1,11.9,95.6,68.6,33.3,25.9,5.6,0,0.0
4.2,9.7,23,2.3,37,13.3,45.9,59,20.8,0,0,0,27.6,19.2,73.7,0,92.1,34.4,83.9,8.5,34.7,18.6,95.5,52.4,26.4,19,5,4.9,0.0
0,9.1,39.4,11.3,45.6,26.6,33.3,33.3,30.3,0,0,0,27.5,19.8,62.6,0,90.4,18.2,85.0,3.4,22.0,7.6,100,60.7,27.3,12.1,5.8,0,0.0
